Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
243,Vid Belec,si SVN,GK,Benevento,it Serie A,27,1990,13,13,"1,113",12.4,0,0,0,0,0,0,1,1,0,0,0,0,0,Matches
244,Vid Belec,si SVN,GK,Sampdoria,it Serie A,27,1990,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
245,Ishak Belfodil,dz ALG,FW,Werder Bremen,de Bundesliga,25,1992,26,13,"1,350",15,4,1,5,4,0,0,1,0,0.27,0.07,0.33,0.27,0.33,Matches
246,Stefan Bell,de GER,DF,Mainz 05,de Bundesliga,25,1991,25,24,"2,177",24.2,1,0,1,1,0,0,8,0,0.04,0,0.04,0.04,0.04,Matches
247,Karim Bellarabi,de GER,MF,Leverkusen,de Bundesliga,27,1990,24,13,"1,146",12.7,1,3,4,1,0,0,2,0,0.08,0.24,0.31,0.08,0.31,Matches
248,Héctor Bellerín,es ESP,"MF,DF",Arsenal,eng Premier League,22,1995,35,34,"3,051",33.9,2,3,5,2,0,0,5,0,0.06,0.09,0.15,0.06,0.15,Matches
249,François Bellugou,fr FRA,MF,Troyes,fr Ligue 1,30,1987,30,27,"2,177",24.2,0,0,0,0,0,0,6,1,0,0,0,0,0,Matches
250,Andrea Belotti,it ITA,FW,Torino,it Serie A,23,1993,32,29,"2,683",29.8,10,5,15,10,0,2,2,0,0.34,0.17,0.5,0.34,0.5,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
251,Chaouki Ben Saada,tn TUN,MF,Troyes,fr Ligue 1,33,1984,16,2,342,3.8,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
252,Wissam Ben Yedder,fr FRA,FW,Sevilla,es La Liga,26,1990,25,18,"1,700",18.9,9,3,12,9,0,0,2,1,0.48,0.16,0.64,0.48,0.64,Matches
253,Diego Benaglio,ch SUI,GK,Monaco,fr Ligue 1,33,1983,3,2,225,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
254,Ahmad Benali,ly LBY,MF,Crotone,it Serie A,25,1992,10,10,811,9,1,1,2,1,0,0,2,0,0.11,0.11,0.22,0.11,0.22,Matches
255,Yohan Benalouane,tn TUN,DF,Leicester City,eng Premier League,30,1987,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
256,Marco Benassi,it ITA,MF,Fiorentina,it Serie A,22,1994,35,35,"2,782",30.9,5,3,8,5,0,0,6,0,0.16,0.1,0.26,0.16,0.26,Matches
257,Medhi Benatia,ma MAR,DF,Juventus,it Serie A,30,1987,20,19,"1,755",19.5,2,0,2,2,0,0,8,0,0.1,0,0.1,0.1,0.1,Matches
258,Lars Bender,de GER,"DF,MF",Leverkusen,de Bundesliga,28,1989,21,20,"1,595",17.7,2,4,6,2,0,0,5,0,0.11,0.23,0.34,0.11,0.34,Matches
259,Sven Bender,de GER,DF,Leverkusen,de Bundesliga,28,1989,29,29,"2,345",26.1,2,0,2,2,0,0,0,0,0.08,0,0.08,0.08,0.08,Matches
260,László Bénes,sk SVK,MF,Gladbach,de Bundesliga,19,1997,2,0,38,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
261,Nicolas Benezet,fr FRA,"MF,FW",Guingamp,fr Ligue 1,26,1991,29,18,"1,648",18.3,3,3,6,3,0,0,2,0,0.16,0.16,0.33,0.16,0.33,Matches
262,Marcel Benger,de GER,"DF,MF",Gladbach,de Bundesliga,19,1998,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
263,Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,24,1993,28,28,"2,520",28,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
