Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
542,Mário Rui,pt POR,DF,it Napoli,28,1991,5.9,0,2,0,0,0.34,0,0,,0,0,Matches
543,Fabián Ruiz Peña,es ESP,MF,it Napoli,23,1996,7.9,0,10,3,30,1.27,0.38,0,0,0,0,Matches
544,Maciej Rybus,pl POL,DF,ru Loko Moscow,29,1989,5,0,2,1,50,0.4,0.2,0,0,0,0,Matches
545,José Sá,pt POR,GK,gr Olympiacos,26,1993,6,0,0,0,,0,0,,,0,0,Matches
546,Marcel Sabitzer,at AUT,MF,de RB Leipzig,25,1994,8.9,4,22,9,40.9,2.46,1.01,0.18,0.44,0,0,Matches
547,Mohamed Salah,eg EGY,FW,eng Liverpool,27,1992,8.1,4,37,11,29.7,4.56,1.36,0.11,0.36,0,0,Matches
548,Andreas Samaris,gr GRE,MF,pt Benfica,30,1989,0.1,0,1,0,0,9,0,0,,0,0,Matches
549,Mbwana Samatta,tz TAN,"FW,MF",be Genk,26,1992,5.7,3,11,5,45.5,1.93,0.88,0.27,0.6,0,0,Matches
550,Renato Sanches,pt POR,MF,fr Lille,21,1997,1.4,0,0,0,,0,0,,,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
551,Alexis Sánchez,cl CHI,FW,it Inter,30,1988,0.7,0,1,0,0,1.38,0,0,,0,0,Matches
552,Davinson Sánchez,co COL,DF,eng Tottenham Hotspur,23,1996,5,0,1,0,0,0.2,0,0,,0,0,Matches
553,Jadon Sancho,eng ENG,"MF,FW",de Dortmund,19,2000,7.2,2,18,9,50,2.52,1.26,0.11,0.22,0,0,Matches
554,Alex Sandro,br BRA,DF,it Juventus,28,1991,6,0,6,1,16.7,1,0.17,0,0,0,0,Matches
555,Douglas Santos,br BRA,"DF,MF",ru Zenit,25,1994,5.6,0,3,2,66.7,0.53,0.36,0,0,0,0,Matches
