Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
164,Olivier Deschacht,be BEL,DF,be Anderlecht,33,1981,6,1,0,,4,,,,,,,,,Matches
165,Mattia Destro,it ITA,FW,it Roma,23,1991,1.2,0,0,,1,,,,,,,,,Matches
166,Dimitris Diamantakos,gr GRE,FW,gr Olympiacos,21,1993,0.2,0,0,,3,,,,,,,,,Matches
167,Marcelo Díaz,cl CHI,MF,ch Basel,27,1986,0.3,0,0,,1,,,,,,,,,Matches
168,Serey Die,ci CIV,MF,ch Basel,29,1984,1.2,0,1,,5,,,,,,,,,Matches
169,Lucas Digne,fr FRA,"DF,MF",fr Paris Saint-Germain,21,1993,0,0,0,,0,,,,,,,,,Matches
170,Nabil Dirar,ma MAR,"DF,MF",fr Monaco,28,1986,6.7,1,0,,20,,,,,,,,,Matches
171,Rafik Djebbour,dz ALG,FW,cy APOEL FC,30,1984,1.4,0,0,,7,,,,,,,,,Matches
172,Chori Domínguez,ar ARG,"FW,MF",gr Olympiacos,33,1981,4.5,1,0,,6,,,,,,,,,Matches
173,Giulio Donati,it ITA,DF,de Leverkusen,24,1990,3.4,1,0,,5,,,,,,,,,Matches
174,Seydou Doumbia,ci CIV,FW,ru CSKA Moscow,26,1987,4.5,0,0,,4,,,,,,,,,Matches
175,Julian Draxler,de GER,"FW,MF",de Schalke 04,20,1993,2.9,0,0,,1,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
176,Josip Drmić,ch SUI,FW,de Leverkusen,21,1992,3.5,0,0,,8,,,,,,,,,Matches
177,Didier Drogba,ci CIV,FW,eng Chelsea,36,1978,3.2,0,0,,4,,,,,,,,,Matches
178,Erik Durm,de GER,"DF,FW",de Dortmund,22,1992,3.2,0,0,,1,,,,,,,,,Matches
179,Jimmy Durmaz,se SWE,MF,gr Olympiacos,25,1989,0.2,0,0,,1,,,,,,,,,Matches
180,Svetoslav Dyakov,bg BUL,MF,bg Ludogorets Razgrad,30,1984,5.9,1,0,,3,,,,,,,,,Matches
181,Alan Dzagoev,ru RUS,MF,ru CSKA Moscow,24,1990,3,2,0,,7,,,,,,,,,Matches
182,Edin Džeko,ba BIH,FW,eng Manchester City,28,1986,4.1,2,0,,6,,,,,,,,,Matches
183,Blerim Džemaili,ch SUI,MF,tr Galatasaray,28,1986,3.3,3,0,,4,,,,,,,,,Matches
184,Elderson Echiéjilé,ng NGA,DF,fr Monaco,26,1988,2,1,0,,1,,,,,,,,,Matches
185,Giorgos Efrem,cy CYP,MF,cy APOEL FC,25,1989,3.3,0,0,,1,,,,,,,,,Matches
186,Omar Elabdellaoui,no NOR,"DF,MF",gr Olympiacos,22,1991,6,0,0,,10,,,,,,,,,Matches
187,Eliseu,pt POR,"DF,MF",pt Benfica,30,1983,3,1,0,,3,,,,,,,,,Matches
188,Mohamed Elneny,eg EGY,MF,ch Basel,22,1992,7.9,2,0,,13,,,,,,,,,Matches
189,Breel Embolo,ch SUI,"FW,MF",ch Basel,17,1997,4.9,1,0,,10,,,,,,,,,Matches
190,Matías Emilio Delgado,ar ARG,MF,ch Basel,31,1982,0.3,0,0,,1,,,,,,,,,Matches
191,José Enrique,es ESP,DF,eng Liverpool,28,1986,1.5,0,0,,3,,,,,,,,,Matches
192,Roman Eremenko,fi FIN,MF,ru CSKA Moscow,27,1987,5.6,2,0,,5,,,,,,,,,Matches
193,Magnus Eriksson,se SWE,"FW,MF",se Malmö,24,1990,5.5,3,0,,10,,,,,,,,,Matches
194,Ricardo Esgaio,pt POR,"DF,FW",pt Sporting CP,21,1993,1,0,0,,2,,,,,,,,,Matches
195,Fábio Espinho,pt POR,MF,bg Ludogorets Razgrad,28,1985,4.3,2,0,,4,,,,,,,,,Matches
196,Beñat Etxebarria,es ESP,MF,es Athletic Club,27,1987,3.7,1,0,,3,,,,,,,,,Matches
197,Xabier Etxeita,es ESP,DF,es Athletic Club,26,1987,1.4,0,0,,0,,,,,,,,,Matches
198,Patrice Evra,fr FRA,DF,it Juventus,33,1981,10,0,0,,9,,,,,,,,,Matches
199,Fabiano,cy CYP,GK,pt Porto,26,1988,9,0,0,,0,,,,,,,,,Matches
200,Fabinho,br BRA,"DF,MF",fr Monaco,20,1993,9.1,1,0,,12,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
201,Cesc Fàbregas,es ESP,"FW,MF",eng Chelsea,27,1987,7.7,2,0,,13,,,,,,,,,Matches
202,Ralf Fährmann,de GER,GK,de Schalke 04,25,1988,6,0,0,,0,,,,,,,,,Matches
203,Viktor Fayzulin,ru RUS,MF,ru Zenit,28,1986,2.8,2,0,,13,,,,,,,,,Matches
204,Mário Fernandes,ru RUS,"DF,MF",ru CSKA Moscow,23,1990,6,0,0,,8,,,,,,,,,Matches
205,Andrés Fernández,es ESP,GK,pt Porto,27,1986,1,0,0,,0,,,,,,,,,Matches
206,Fernandinho,br BRA,"DF,MF",eng Manchester City,29,1985,4.7,2,1,,14,,,,,,,,,Matches
207,Fernando,br BRA,"DF,MF",eng Manchester City,27,1987,4.7,2,0,,5,,,,,,,,,Matches
208,Fernando,br BRA,MF,ua Shakhtar Donetsk,22,1992,5,1,0,,9,,,,,,,,,Matches
209,Egor Filipenko,by BLR,DF,by BATE Borisov,26,1988,3,0,0,,1,,,,,,,,,Matches
210,Željko Filipović,si SVN,MF,si NK Maribor,25,1988,6,2,0,,8,,,,,,,,,Matches
211,Mathieu Flamini,fr FRA,MF,eng Arsenal,30,1984,2.9,2,0,,5,,,,,,,,,Matches
212,Alessandro Florenzi,it ITA,"DF,FW",it Roma,23,1991,3.9,0,0,,0,,,,,,,,,Matches
213,Emil Forsberg,se SWE,"FW,MF",se Malmö,22,1991,5.7,0,0,,6,,,,,,,,,Matches
214,Hernâni Fortes,pt POR,"FW,MF",pt Porto,22,1991,0.1,0,0,,0,,,,,,,,,Matches
215,Fred,br BRA,"FW,MF",ua Shakhtar Donetsk,21,1993,4.1,1,0,,8,,,,,,,,,Matches
216,Fabian Frei,ch SUI,"DF,MF",ch Basel,25,1989,7.4,2,0,,7,,,,,,,,,Matches
217,Marvin Friedrich,de GER,DF,de Schalke 04,18,1995,0,0,0,,0,,,,,,,,,Matches
218,Christian Fuchs,at AUT,"DF,MF",de Schalke 04,28,1986,4.9,1,0,,5,,,,,,,,,Matches
219,David Fuster,es ESP,MF,gr Olympiacos,32,1982,2,1,0,,5,,,,,,,,,Matches
220,Gabi,es ESP,MF,es Atlético Madrid,31,1983,6.1,2,0,,7,,,,,,,,,Matches
221,Nicolás Gaitán,ar ARG,"FW,MF",pt Benfica,26,1988,4.9,1,0,,2,,,,,,,,,Matches
222,Jesús Gámez,es ESP,DF,es Atlético Madrid,29,1985,2.9,2,0,,4,,,,,,,,,Matches
223,Ezequiel Garay,ar ARG,DF,ru Zenit,27,1986,6,1,0,,6,,,,,,,,,Matches
224,Javi García,es ESP,"DF,MF",ru Zenit,27,1987,5.6,2,0,,16,,,,,,,,,Matches
225,Raúl García,es ESP,"FW,MF",es Atlético Madrid,28,1986,6.8,3,0,,22,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
226,Shkëlzen Gashi,al ALB,"FW,MF",ch Basel,26,1988,4.6,2,0,,8,,,,,,,,,Matches
227,Gianluca Gaudino,de GER,MF,de Bayern Munich,17,1996,0.8,0,0,,0,,,,,,,,,Matches
