Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
117,William Bøving,dk DEN,"MF,FW",at Sturm Graz,21,2003,8,8,665,7.4,0,1,1,0,0,0,0,0,0,0.14,0.14,0,0.14,Matches
118,Rémy Cabella,fr FRA,MF,fr Lille,34,1990,7,6,383,4.3,1,1,2,1,0,0,1,0,0.23,0.23,0.47,0.23,0.47,Matches
119,Arthur Cabral,br BRA,FW,pt Benfica,26,1998,6,0,80,0.9,1,0,1,1,0,0,0,1,1.13,0,1.13,1.13,1.13,Matches
120,Davide Calabria,it ITA,DF,it Milan,27,1996,5,3,313,3.5,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
121,Riccardo Calafiori,it ITA,DF,eng Arsenal,22,2002,8,4,431,4.8,1,1,2,1,0,0,2,0,0.21,0.21,0.42,0.21,0.42,Matches
122,Hakan Çalhanoğlu,tr TUR,MF,it Inter,30,1994,12,11,827,9.2,4,2,6,1,3,3,3,0,0.44,0.22,0.65,0.11,0.33,Matches
123,Amady Camara,ml MLI,FW,at Sturm Graz,19,2005,4,2,132,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
124,Lamine Camara,sn SEN,MF,fr Monaco,20,2004,9,9,605,6.7,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
125,Mahdi Camara,fr FRA,MF,fr Brest,26,1998,10,9,705,7.8,1,0,1,1,0,0,2,0,0.13,0,0.13,0.13,0.13,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
126,Francesco Camarda,it ITA,FW,it Milan,16,2008,4,0,39,0.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
