Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
152,Joe Aribo,ng NGA,MF,Southampton,eng Premier League,28,1996,22.4,1,0,0,20,27,1,10,20,34,,,0,Matches
153,Adam Armstrong,eng ENG,"FW,MF",Southampton,eng Premier League,27,1997,13.9,4,0,0,12,5,9,14,4,3,,,0,Matches
154,Harrison Armstrong,eng ENG,MF,Everton,eng Premier League,17,2007,0.5,1,0,0,2,2,0,1,0,0,,,0,Matches
155,José Arnaiz,es ESP,MF,Osasuna,es La Liga,29,1995,1.5,0,0,0,0,5,4,17,4,5,,,0,Matches
156,Marko Arnautović,at AUT,FW,Inter,it Serie A,35,1989,6.1,1,0,0,4,6,8,5,1,6,,,0,Matches
157,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,30,1994,26.2,7,1,0,30,52,0,153,24,21,,,0,Matches
158,Jann-Fiete Arp,de GER,FW,Holstein Kiel,de Bundesliga,24,2000,7.9,8,1,1,20,18,2,24,3,10,,,0,Matches
159,Sergio Arribas,es ESP,DF,Real Betis,es La Liga,21,2003,1,0,0,0,0,0,0,0,3,4,,,0,Matches
160,Kepa Arrizabalaga,es ESP,GK,Bournemouth,eng Premier League,29,1994,31,3,0,0,2,6,0,0,0,0,,,0,Matches
161,Arthur,br BRA,"MF,DF",Leverkusen,de Bundesliga,21,2003,8.4,1,0,0,20,6,0,16,9,12,,,0,Matches
162,Takuma Asano,jp JPN,"MF,FW",Mallorca,es La Liga,29,1994,11.7,0,0,0,5,15,6,20,8,9,,,0,Matches
163,Raúl Asencio,es ESP,DF,Real Madrid,es La Liga,21,2003,18.6,3,0,0,12,19,1,0,16,17,,,0,Matches
164,Marco Asensio,es ESP,MF,Aston Villa,eng Premier League,28,1996,8.3,2,0,0,11,8,2,38,2,5,,,0,Matches
165,Marco Asensio,es ESP,"FW,MF",Paris Saint-Germain,fr Ligue 1,28,1996,6.9,0,0,0,1,4,3,13,1,3,,,0,Matches
166,Kristjan Asllani,al ALB,MF,Inter,it Serie A,22,2002,11,4,0,0,9,19,0,41,8,4,,,0,Matches
167,Iago Aspas,es ESP,"FW,MF",Celta Vigo,es La Liga,36,1987,19.4,6,1,1,16,34,5,16,8,7,,,0,Matches
168,Yaser Asprilla,co COL,"MF,FW",Girona,es La Liga,20,2003,15.6,2,0,0,12,23,1,93,7,12,,,0,Matches
169,Lorenz Assignon,tg TOG,"MF,DF",Rennes,fr Ligue 1,24,2000,26.2,9,0,0,53,28,4,71,26,27,,,0,Matches
170,Dehmaine Assoumani,fr FRA,FW,Nantes,fr Ligue 1,19,2005,1.1,0,0,0,1,4,0,6,1,5,,,0,Matches
171,Valentin Atangana Edoa,fr FRA,MF,Reims,fr Ligue 1,18,2005,31.7,7,0,0,57,50,8,16,37,49,,,0,Matches
172,Arthur Atta,fr FRA,"MF,FW",Udinese,it Serie A,21,2003,13.9,5,0,0,15,14,1,24,7,10,,,0,Matches
173,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,22,2002,25.6,2,0,0,0,0,0,0,0,0,,,0,Matches
174,Emil Audero,id IDN,GK,Como,it Serie A,27,1997,8,0,0,0,0,1,0,0,0,0,,,0,Matches
175,Tommaso Augello,it ITA,"MF,DF",Cagliari,it Serie A,29,1994,30.1,3,0,0,15,11,3,208,14,27,,,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
176,Carlos Augusto,br BRA,"DF,MF",Inter,it Serie A,25,1999,18.8,1,0,0,10,12,3,21,11,14,,,0,Matches
177,Yann Aurel Bisseck,de GER,DF,Inter,it Serie A,23,2000,18.3,4,0,0,16,9,1,8,18,13,,,0,Matches
178,Brandon Austin,eng ENG,GK,Tottenham Hotspur,eng Premier League,25,1999,1,0,0,0,0,2,0,0,0,0,,,0,Matches
179,Ezequiel Ávila,ar ARG,"MF,FW",Real Betis,es La Liga,30,1994,7.5,5,1,0,13,18,5,29,3,5,,,0,Matches
180,Taiwo Awoniyi,ng NGA,FW,Nottingham Forest,eng Premier League,26,1997,4.6,0,0,0,8,10,1,2,0,4,,,0,Matches
181,Yasin Ayari,se SWE,MF,Brighton,eng Premier League,20,2003,21.8,3,0,0,36,26,3,70,20,32,,,0,Matches
182,Florian Ayé,fr FRA,FW,Auxerre,fr Ligue 1,27,1997,6.4,0,0,0,10,6,3,2,7,1,,,0,Matches
183,André Ayew,gh GHA,FW,Le Havre,fr Ligue 1,34,1989,16.1,2,0,0,19,30,6,7,3,10,,,0,Matches
