Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
132,André Onana,cm CMR,GK,Manchester Utd,eng Premier League,27,1996,38,38,"3,420",38,58,1.53,200,148,74.5,18,6,14,9,23.7,7,7,0,0,0,Matches
133,Stefan Ortega,de GER,GK,Manchester City,eng Premier League,30,1992,9,5,635,7.1,7,0.99,27,20,74.1,4,1,0,3,60,0,0,0,0,,Matches
134,Alexandre Oukidja,dz ALG,GK,Metz,fr Ligue 1,35,1988,34,34,"2,987",33.2,57,1.72,178,126,71.3,8,5,21,6,17.6,6,6,0,0,0,Matches
135,Jesús Owono,gq EQG,GK,Alavés,es La Liga,22,2001,4,4,360,4,8,2,24,16,66.7,1,2,1,1,25,0,0,0,0,,Matches
136,Rui Patrício,pt POR,GK,Roma,it Serie A,35,1988,23,23,"2,070",23,27,1.17,74,49,66.2,11,5,7,6,26.1,3,2,0,1,0,Matches
137,Jiří Pavlenka,cz CZE,GK,Werder Bremen,de Bundesliga,31,1992,7,7,630,7,17,2.43,37,22,59.5,2,0,5,1,14.3,2,2,0,0,0,Matches
138,Iñaki Peña,es ESP,GK,Barcelona,es La Liga,24,1999,10,10,900,10,17,1.7,39,22,56.4,6,2,2,2,20,0,0,0,0,,Matches
139,Daniel Peretz,il ISR,GK,Bayern Munich,de Bundesliga,23,2000,1,0,17,0.2,0,0,0,0,,0,0,0,0,,0,0,0,0,,Matches
140,Simone Perilli,it ITA,GK,Hellas Verona,it Serie A,28,1995,1,1,90,1,2,2,10,8,80,0,1,0,0,0,0,0,0,0,,Matches
141,Mattia Perin,it ITA,GK,Juventus,it Serie A,30,1992,3,3,225,2.5,1,0.4,5,4,80,2,1,0,2,66.7,0,0,0,0,,Matches
142,Samuele Perisan,it ITA,GK,Empoli,it Serie A,25,1997,1,1,90,1,2,2,5,3,60,0,0,1,0,0,0,0,0,0,,Matches
143,Pavao Pervan,at AUT,GK,Wolfsburg,de Bundesliga,35,1987,9,9,810,9,17,1.89,37,20,54.1,2,1,6,2,22.2,0,0,0,0,,Matches
144,Denis Petrić,rs SRB,GK,Nantes,fr Ligue 1,35,1988,1,0,24,0.3,1,3.75,1,0,0,0,0,0,0,,0,0,0,0,,Matches
145,Đorđe Petrović,rs SRB,GK,Chelsea,eng Premier League,23,1999,23,22,"1,987",22.1,38,1.72,112,74,67,13,5,4,4,18.2,2,1,0,1,0,Matches
146,Jordan Pickford,eng ENG,GK,Everton,eng Premier League,29,1994,38,38,"3,420",38,51,1.34,164,121,73.8,13,9,16,10,26.3,8,8,0,0,0,Matches
147,Carlo Pinsoglio,it ITA,GK,Juventus,it Serie A,33,1990,1,0,45,0.5,0,0,3,3,100,0,0,0,1,,0,0,0,0,,Matches
148,Nick Pope,eng ENG,GK,Newcastle United,eng Premier League,31,1992,15,15,"1,345",14.9,16,1.07,59,43,72.9,9,2,4,6,40,0,0,0,0,,Matches
149,Ivan Provedel,it ITA,GK,Lazio,it Serie A,29,1994,30,30,"2,699",30,33,1.1,117,86,73.5,12,6,12,9,30,3,2,0,1,0,Matches
150,Ionuț Radu,ro ROU,GK,Bournemouth,eng Premier League,26,1997,2,2,180,2,7,3.5,12,5,41.7,1,0,1,0,0,0,0,0,0,,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
151,Boris Radunović,rs SRB,GK,Cagliari,it Serie A,27,1996,7,7,630,7,12,1.71,28,16,57.1,0,2,5,2,28.6,1,0,0,1,,Matches
152,Predrag Rajković,rs SRB,GK,Mallorca,es La Liga,27,1995,36,36,"3,240",36,43,1.19,136,98,71.3,7,15,14,5,13.9,5,4,1,0,20,Matches
153,Aaron Ramsdale,eng ENG,GK,Arsenal,eng Premier League,25,1998,6,6,540,6,5,0.83,14,9,64.3,5,1,0,2,33.3,0,0,0,0,,Matches
154,Federico Ravaglia,it ITA,GK,Bologna,it Serie A,23,1999,6,6,535,5.9,3,0.5,15,13,80,4,1,1,4,66.7,1,0,1,0,100,Matches
155,David Raya,es ESP,GK,Arsenal,eng Premier League,27,1995,32,32,"2,880",32,24,0.75,66,45,66.7,23,4,5,14,43.8,3,2,1,0,33.3,Matches
156,Pepe Reina,es ESP,GK,Villarreal,es La Liga,40,1982,2,2,180,2,2,1,9,7,77.8,1,1,0,0,0,0,0,0,0,,Matches
157,Álex Remiro,es ESP,GK,Real Sociedad,es La Liga,28,1995,37,37,"3,275",36.4,36,0.99,126,95,75.4,16,12,9,13,35.1,6,5,1,0,16.7,Matches
158,Guillaume Restes,fr FRA,GK,Toulouse,fr Ligue 1,18,2005,34,34,"3,060",34,46,1.35,138,96,69.6,11,10,13,6,17.6,4,4,0,0,0,Matches
159,Manuel Riemann,de GER,GK,Bochum,de Bundesliga,34,1988,33,33,"2,970",33,70,2.12,174,115,64.9,7,12,14,4,12.1,11,9,2,0,18.2,Matches
160,Rémy Riou,fr FRA,GK,Lyon,fr Ligue 1,35,1987,3,3,270,3,6,2,14,8,57.1,0,1,2,1,33.3,0,0,0,0,,Matches
161,Francesco Rossi,it ITA,GK,Atalanta,it Serie A,32,1991,1,0,5,0.1,0,0,1,1,100,0,0,0,1,,0,0,0,0,,Matches
162,Frederik Rønnow,dk DEN,GK,Union Berlin,de Bundesliga,30,1992,33,33,"2,970",33,56,1.7,155,106,67.1,9,6,18,7,21.2,7,5,2,0,28.6,Matches
163,José Sá,pt POR,GK,Wolves,eng Premier League,30,1993,35,35,"3,037",33.7,58,1.72,184,134,72.8,12,7,16,4,11.4,8,8,0,0,0,Matches
164,Brice Samba,fr FRA,GK,Lens,fr Ligue 1,29,1994,33,33,"2,970",33,35,1.06,131,102,77.9,14,8,11,13,39.4,8,6,1,1,14.3,Matches
165,Robert Sánchez,es ESP,GK,Chelsea,eng Premier League,25,1997,16,16,"1,433",15.9,25,1.57,74,52,68.9,5,4,7,3,18.8,3,2,1,0,33.3,Matches
