Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
155,Khouma Babacar,sn SEN,FW,Sassuolo,it Serie A,24,1993,8.3,2,26,10,38.5,3.12,1.2,0.04,0.1,1,1,Matches
156,Carlos Bacca,co COL,FW,Villarreal,es La Liga,30,1986,27.7,15,73,36,49.3,2.63,1.3,0.19,0.39,1,1,Matches
157,Milan Badelj,hr CRO,MF,Fiorentina,it Serie A,28,1989,26.1,2,34,6,17.6,1.3,0.23,0.06,0.33,0,0,Matches
158,Holger Badstuber,de GER,"DF,MF",Stuttgart,de Bundesliga,28,1989,24.1,2,9,5,55.6,0.37,0.21,0.22,0.4,0,0,Matches
159,Dylan Bahamboula,cg CGO,"FW,MF",Dijon,fr Ligue 1,22,1995,0.3,0,1,0,0,3,0,0,,0,0,Matches
160,Farès Bahlouli,fr FRA,MF,Lille,fr Ligue 1,22,1995,3.4,1,4,2,50,1.17,0.59,0.25,0.5,0,0,Matches
161,Stéphane Bahoken,cm CMR,FW,Strasbourg,fr Ligue 1,25,1992,18.5,7,37,16,43.2,2,0.87,0.19,0.44,0,0,Matches
162,Daniel Baier,de GER,MF,Augsburg,de Bundesliga,33,1984,28.2,0,27,5,18.5,0.96,0.18,0,0,0,0,Matches
163,Leon Bailey,jm JAM,MF,Leverkusen,de Bundesliga,19,1997,24.6,9,76,28,36.8,3.09,1.14,0.12,0.32,0,0,Matches
164,Eric Bailly,ci CIV,DF,Manchester Utd,eng Premier League,23,1994,11.1,1,3,1,33.3,0.27,0.09,0.33,1,0,0,Matches
165,Leighton Baines,eng ENG,"DF,MF",Everton,eng Premier League,32,1984,21.2,2,7,4,57.1,0.33,0.19,0,0,2,2,Matches
166,Riad Bajić,ba BIH,FW,Udinese,it Serie A,23,1994,0.9,0,2,1,50,2.25,1.13,0,0,0,0,Matches
167,Marvin Bakalorz,de GER,MF,Hannover 96,de Bundesliga,27,1989,22.8,0,21,5,23.8,0.92,0.22,0,0,0,0,Matches
168,Cédric Bakambu,cd COD,FW,Villarreal,es La Liga,26,1991,14,9,31,16,51.6,2.21,1.14,0.26,0.5,1,1,Matches
169,Tiemoué Bakayoko,fr FRA,MF,Chelsea,eng Premier League,22,1994,23.6,2,41,9,22,1.74,0.38,0.05,0.22,0,0,Matches
170,Zakaria Bakkali,be BEL,"MF,FW",Dep La Coruña,es La Liga,21,1996,10.1,0,25,6,24,2.48,0.59,0,0,0,0,Matches
171,Ridle Baku,de GER,MF,Mainz 05,de Bundesliga,19,1998,2.6,2,5,3,60,1.93,1.16,0.4,0.67,0,0,Matches
172,Keita Baldé,sn SEN,"MF,FW",Monaco,fr Ligue 1,22,1995,16.4,8,32,12,37.5,1.96,0.73,0.25,0.67,0,0,Matches
173,Sam Baldock,eng ENG,"FW,MF",Brighton,eng Premier League,28,1989,0.4,0,0,0,,0,0,,,0,0,Matches
174,Gareth Bale,wls WAL,"FW,MF",Real Madrid,es La Liga,28,1989,20,16,76,33,43.4,3.8,1.65,0.2,0.45,1,1,Matches
175,Mikel Balenziaga,es ESP,DF,Athletic Club,es La Liga,29,1988,17.2,0,3,0,0,0.17,0,0,,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
176,Andrija Balić,hr CRO,MF,Udinese,it Serie A,19,1997,12,0,16,2,12.5,1.33,0.17,0,0,0,0,Matches
177,Iván Balliu,al ALB,DF,Metz,fr Ligue 1,25,1992,21.7,0,4,2,50,0.18,0.09,0,0,0,0,Matches
178,Fodé Ballo-Touré,sn SEN,"DF,MF",Lille,fr Ligue 1,20,1997,22.8,0,5,3,60,0.22,0.13,0,0,0,0,Matches
179,Florent Balmont,fr FRA,MF,Dijon,fr Ligue 1,37,1980,9.6,1,6,4,66.7,0.63,0.42,0.17,0.25,0,0,Matches
180,Leon Balogun,ng NGA,DF,Mainz 05,de Bundesliga,29,1988,13,0,2,1,50,0.15,0.08,0,0,0,0,Matches
181,Mario Balotelli,it ITA,FW,Nice,fr Ligue 1,26,1990,25.2,18,108,52,48.1,4.28,2.06,0.11,0.23,6,7,Matches
