Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
335,Sofiane Boufal,ma MAR,"FW,MF",Southampton,eng Premier League,22,1993,12.3,1,25,7,28,2.04,0.57,0.04,0.14,0,0,Matches
336,Arnold Bouka Moutou,cg CGO,DF,Dijon,fr Ligue 1,27,1988,8.4,0,1,1,100,0.12,0.12,0,0,0,0,Matches
337,Farid Boulaya,dz ALG,FW,Bastia,fr Ligue 1,23,1993,0.2,0,1,0,0,5.29,0,0,,0,0,Matches
338,Grégory Bourillon,fr FRA,"DF,MF",Angers,fr Ligue 1,32,1984,3.8,1,5,4,80,1.3,1.04,0.2,0.25,0,0,Matches
339,Ouasim Bouy,nl NED,"DF,MF",Palermo,it Serie A,23,1993,0.4,0,1,0,0,2.25,0,0,,0,0,Matches
340,Mounir Bouziane,fr FRA,"FW,MF",Mainz 05,de Bundesliga,25,1991,0.2,0,0,0,,0,0,,,0,0,Matches
341,Eneko Bóveda,es ESP,DF,Athletic Club,es La Liga,27,1988,17.3,0,2,0,0,0.12,0,0,,0,0,Matches
342,Cesare Bovo,it ITA,DF,Torino,it Serie A,33,1983,4,0,7,2,28.6,1.75,0.5,0,0,0,0,Matches
343,Cesare Bovo,it ITA,DF,Pescara,it Serie A,33,1983,9.1,0,4,1,25,0.44,0.11,0,0,0,0,Matches
344,Jarrod Bowen,eng ENG,MF,Hull City,eng Premier League,19,1996,2,0,3,0,0,1.49,0,0,,0,0,Matches
345,George Boyd,sct SCO,MF,Burnley,eng Premier League,30,1985,31.5,2,34,7,20.6,1.08,0.22,0.06,0.29,0,0,Matches
346,Terrence Boyd,us USA,FW,Darmstadt 98,de Bundesliga,25,1991,4.2,1,5,3,60,1.2,0.72,0.2,0.33,0,0,Matches
347,Lucas Boyé,ar ARG,"FW,MF",Torino,it Serie A,20,1996,16.2,0,34,10,29.4,2.1,0.62,0,0,0,0,Matches
348,Denys Boyko,ua UKR,GK,Málaga,es La Liga,28,1988,3,0,0,0,,0,0,,,0,0,Matches
349,Robbie Brady,ie IRL,MF,Burnley,eng Premier League,24,1992,8,1,19,3,15.8,2.38,0.38,0.05,0.33,0,0,Matches
350,Martin Braithwaite,dk DEN,"FW,MF",Toulouse,fr Ligue 1,25,1991,32.7,11,97,41,42.3,2.96,1.25,0.07,0.17,4,6,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
351,Julian Brandt,de GER,"MF,FW",Leverkusen,de Bundesliga,20,1996,25.5,3,47,15,31.9,1.84,0.59,0.06,0.2,0,0,Matches
352,Darko Brašanac,rs SRB,MF,Real Betis,es La Liga,24,1992,18,1,15,3,20,0.83,0.17,0.07,0.33,0,0,Matches
353,Claudio Bravo,cl CHI,GK,Barcelona,es La Liga,33,1983,1,0,0,0,,0,0,,,0,0,Matches
354,Claudio Bravo,cl CHI,GK,Manchester City,eng Premier League,33,1983,21.9,0,0,0,,0,0,,,0,0,Matches
355,Romain Brégerie,fr FRA,DF,Ingolstadt,de Bundesliga,29,1986,17,3,13,4,30.8,0.77,0.24,0.23,0.75,0,0,Matches
356,Josip Brekalo,hr CRO,"FW,MF",Wolfsburg,de Bundesliga,18,1998,0.9,0,4,1,25,4.5,1.13,0,0,0,0,Matches
357,Jimmy Briand,fr FRA,FW,Guingamp,fr Ligue 1,30,1985,32,12,72,27,37.5,2.25,0.84,0.13,0.33,3,3,Matches
358,Alberto Brignoli,it ITA,GK,Leganés,es La Liga,24,1991,0.7,0,0,0,,0,0,,,0,0,Matches
359,Miguel Britos,uy URU,DF,Watford,eng Premier League,31,1985,25.4,1,18,5,27.8,0.71,0.2,0.06,0.2,0,0,Matches
360,Leon Britton,eng ENG,MF,Swansea City,eng Premier League,33,1982,12.9,0,1,0,0,0.08,0,0,,0,0,Matches
361,John Brooks,us USA,DF,Hertha BSC,de Bundesliga,23,1993,23.5,2,13,6,46.2,0.55,0.26,0.15,0.33,0,0,Matches
362,Daniel Brosinski,de GER,"DF,MF",Mainz 05,de Bundesliga,28,1988,27.3,1,34,9,26.5,1.25,0.33,0,0,1,1,Matches
363,Marcelo Brozović,hr CRO,MF,Inter,it Serie A,23,1992,19.3,4,40,12,30,2.07,0.62,0.1,0.33,0,0,Matches
364,Gastón Brugman,uy URU,MF,Pescara,it Serie A,23,1992,21.5,1,14,5,35.7,0.65,0.23,0.07,0.2,0,0,Matches
365,Jeffrey Bruma,nl NED,DF,Wolfsburg,de Bundesliga,24,1991,19.1,1,11,3,27.3,0.58,0.16,0.09,0.33,0,0,Matches
366,Alessandro Bruno,it ITA,"MF,DF",Pescara,it Serie A,33,1983,10.8,0,0,0,,0,0,,,0,0,Matches
367,Massimo Bruno,be BEL,"FW,MF",RB Leipzig,de Bundesliga,22,1993,0.1,0,1,1,100,18,18,0,0,0,0,Matches
368,Chris Brunt,nir NIR,"MF,DF",West Brom,eng Premier League,31,1984,27.5,3,39,11,28.2,1.42,0.4,0.08,0.27,0,0,Matches
369,Marcel Büchel,li LIE,"MF,FW",Empoli,it Serie A,25,1991,9.1,0,9,0,0,0.99,0,0,,0,0,Matches
370,Ante Budimir,hr CRO,FW,Sampdoria,it Serie A,25,1991,3.5,0,10,6,60,2.88,1.73,0,0,0,0,Matches
371,Alberto Bueno,es ESP,"FW,MF",Leganés,es La Liga,28,1988,4.2,1,8,2,25,1.89,0.47,0.13,0.5,0,0,Matches
372,Alberto Bueno,es ESP,MF,Granada,es La Liga,28,1988,6.2,1,11,5,45.5,1.76,0.8,0.09,0.2,0,0,Matches
373,Gianluigi Buffon,it ITA,GK,Juventus,it Serie A,38,1978,29.5,0,0,0,,0,0,,,0,0,Matches
374,Onur Bulut,tr TUR,MF,Freiburg,de Bundesliga,22,1994,11.1,0,9,3,33.3,0.81,0.27,0,0,0,0,Matches
375,Niko Bungert,de GER,DF,Mainz 05,de Bundesliga,29,1986,8.4,1,4,1,25,0.48,0.12,0.25,1,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
376,Aitor Buñuel,es ESP,"DF,MF",Osasuna,es La Liga,18,1998,11.4,0,6,0,0,0.52,0,0,,0,0,Matches
377,Nicolás Burdisso,ar ARG,DF,Genoa,it Serie A,35,1981,34.7,0,15,3,20,0.43,0.09,0,0,0,0,Matches
378,Guido Burgstaller,at AUT,FW,Schalke 04,de Bundesliga,27,1989,16.2,9,45,17,37.8,2.77,1.05,0.2,0.53,0,1,Matches
379,Burgui,es ESP,"MF,FW",Sporting Gijón,es La Liga,22,1993,22.1,2,51,23,45.1,2.3,1.04,0.04,0.09,0,0,Matches
380,Oliver Burke,sct SCO,"FW,MF",RB Leipzig,de Bundesliga,19,1997,7,1,10,5,50,1.42,0.71,0.1,0.2,0,0,Matches
381,Roman Bürki,ch SUI,GK,Dortmund,de Bundesliga,25,1990,27,0,0,0,,0,0,,,0,0,Matches
382,Patrick Burner,mq MTQ,"MF,DF",Nice,fr Ligue 1,20,1996,2.8,0,3,1,33.3,1.09,0.36,0,0,0,0,Matches
383,Dženis Burnić,ba BIH,DF,Dortmund,de Bundesliga,18,1998,1,0,0,0,,0,0,,,0,0,Matches
384,Alexis Busin,fr FRA,"MF,FW",Nancy,fr Ligue 1,20,1995,2.7,1,6,2,33.3,2.22,0.74,0.17,0.5,0,0,Matches
385,Sergio Busquets,es ESP,MF,Barcelona,es La Liga,28,1988,29.9,0,4,0,0,0.13,0,0,,0,0,Matches
386,Gaëtan Bussmann,fr FRA,DF,Mainz 05,de Bundesliga,25,1991,11.7,0,10,2,20,0.86,0.17,0,0,0,0,Matches
387,Unai Bustinza,es ESP,DF,Leganés,es La Liga,24,1992,19.9,0,14,4,28.6,0.7,0.2,0,0,0,0,Matches
388,Jack Butland,eng ENG,GK,Stoke City,eng Premier League,23,1993,5,0,0,0,,0,0,,,0,0,Matches
389,Sam Byram,eng ENG,"DF,MF",West Ham United,eng Premier League,22,1993,13.9,0,8,0,0,0.58,0,0,,0,0,Matches
390,Jakub Błaszczykowski,pl POL,"MF,DF",Wolfsburg,de Bundesliga,30,1985,18.8,0,11,3,27.3,0.59,0.16,0,0,0,0,Matches
391,Erick Cabaco,uy URU,DF,Nancy,fr Ligue 1,21,1995,17.9,0,10,4,40,0.56,0.22,0,0,0,0,Matches
392,Willy Caballero,ar ARG,GK,Manchester City,eng Premier League,34,1981,16.1,0,0,0,,0,0,,,0,0,Matches
393,Yohan Cabaye,fr FRA,MF,Crystal Palace,eng Premier League,30,1986,23.6,4,40,11,27.5,1.69,0.47,0.1,0.36,0,1,Matches
394,Rémy Cabella,fr FRA,"FW,MF",Marseille,fr Ligue 1,26,1990,17.6,2,27,13,48.1,1.53,0.74,0.07,0.15,0,0,Matches
395,Bryan Cabezas,ec ECU,MF,Atalanta,it Serie A,19,1997,0.3,0,1,0,0,3.91,0,0,,0,0,Matches
396,Jimmy Cabot,fr FRA,"MF,FW",Lorient,fr Ligue 1,22,1994,14.2,5,25,12,48,1.76,0.84,0.2,0.42,0,0,Matches
397,Gustavo Cabral,ar ARG,DF,Celta Vigo,es La Liga,30,1985,24.2,2,19,8,42.1,0.79,0.33,0.11,0.25,0,0,Matches
398,Jerson Cabral,nl NED,FW,Bastia,fr Ligue 1,25,1991,0.8,0,1,0,0,1.32,0,0,,0,0,Matches
