Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
56,Bradley Barcola,fr FRA,"FW,MF",fr Paris Saint-Germain,20,2002,5.3,1,16,6,37.5,3.03,1.14,0.06,0.17,0,0,Matches
57,Abdülkerim Bardakcı,tr TUR,DF,tr Galatasaray,28,1994,6,0,2,1,50,0.33,0.17,0,0,0,0,Matches
58,Roony Bardghji,se SWE,"FW,MF",dk FC Copenhagen,17,2005,1.6,1,4,1,25,2.47,0.62,0.25,1,0,0,Matches
59,Nicolò Barella,it ITA,MF,it Inter,26,1997,5.2,0,6,3,50,1.15,0.58,0,0,0,0,Matches
60,Harvey Barnes,eng ENG,"FW,MF",eng Newcastle United,25,1997,0,0,0,0,,0,0,,,0,0,Matches
61,Romário Baró,pt POR,MF,pt Porto,23,2000,0.7,0,0,0,,0,0,,,0,0,Matches
62,Ander Barrenetxea,es ESP,"FW,MF",es Real Sociedad,21,2001,4.4,1,9,1,11.1,2.04,0.23,0.11,1,0,0,Matches
63,Pablo Barrios,es ESP,MF,es Atlético Madrid,20,2003,2.9,1,4,2,50,1.37,0.69,0.25,0.5,0,0,Matches
64,Davide Bartesaghi,it ITA,MF,it Milan,17,2005,0,0,0,0,,0,0,,,0,0,Matches
65,Alessandro Bastoni,it ITA,DF,it Inter,24,1999,5.6,0,3,0,0,0.54,0,0,,0,0,Matches
66,Jelle Bataille,be BEL,DF,be Antwerp,24,1999,4.6,0,0,0,,0,0,,,0,0,Matches
67,Christoph Baumgartner,at AUT,"FW,MF",de RB Leipzig,23,1999,1.3,0,6,0,0,4.58,0,0,,0,0,Matches
68,Sheraldo Becker,sr SUR,FW,de Union Berlin,28,1995,4.1,2,11,7,63.6,2.71,1.73,0.18,0.29,0,0,Matches
69,Sheraldo Becker,sr SUR,FW,es Real Sociedad,28,1995,0.7,0,0,0,,0,0,,,0,0,Matches
70,Thomas Beelen,nl NED,DF,nl Feyenoord,22,2001,0.9,0,0,0,,0,0,,,0,0,Matches
71,Kevin Behrens,de GER,FW,de Union Berlin,32,1991,3.3,0,6,2,33.3,1.81,0.6,0,0,0,0,Matches
72,Armel Bella Kotchap,de GER,DF,nl PSV,21,2001,0.9,0,1,0,0,1.07,0,0,,0,0,Matches
73,Jude Bellingham,eng ENG,"MF,FW",es Real Madrid,20,2003,11,4,23,7,30.4,2.09,0.64,0.17,0.57,0,0,Matches
74,Walter Benítez,ar ARG,GK,nl PSV,30,1993,8,0,0,0,,0,0,,,0,0,Matches
75,Loris Benito,ch SUI,DF,ch Young Boys,31,1992,4.5,0,1,1,100,0.22,0.22,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
76,Ramy Bensebaini,dz ALG,DF,de Dortmund,28,1995,4.2,0,3,1,33.3,0.72,0.24,0,0,0,0,Matches
