Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
97,Jovane Cabral,cv CPV,"FW,MF",pt Sporting CP,24,1998,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
98,Davide Calabria,it ITA,DF,it Milan,25,1996,6,6,497,5.5,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
99,Hakan Çalhanoğlu,tr TUR,MF,it Inter,28,1994,12,9,804,8.9,1,2,3,1,0,0,1,0,0.11,0.22,0.34,0.11,0.34,Matches
100,Eduardo Camavinga,fr FRA,"MF,DF",es Real Madrid,19,2002,11,8,721,8,0,1,1,0,0,0,3,0,0,0.12,0.12,0,0.12,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
101,Emre Can,de GER,MF,de Dortmund,28,1994,7,6,565,6.3,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
102,João Cancelo,pt POR,DF,eng Manchester City,28,1994,6,5,376,4.2,0,4,4,0,0,0,1,0,0,0.96,0.96,0,0.96,Matches
103,João Cancelo,pt POR,"MF,DF",de Bayern Munich,28,1994,4,2,123,1.4,0,1,1,0,0,0,1,0,0,0.73,0.73,0,0.73,Matches
104,Nicolás Capaldo,ar ARG,MF,at RB Salzburg,23,1998,3,3,270,3,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
105,Valentin Carboni,ar ARG,MF,it Inter,17,2005,1,0,15,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
106,Fábio Cardoso,pt POR,DF,pt Porto,28,1994,4,4,360,4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
107,David Carmo,ao ANG,DF,pt Porto,23,1999,5,5,450,5,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
108,Carmona,es ESP,DF,es Sevilla,20,2002,5,5,450,5,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
109,Yannick Carrasco,be BEL,"MF,DF",es Atlético Madrid,28,1993,6,3,274,3,1,1,2,1,0,1,0,0,0.33,0.33,0.66,0.33,0.66,Matches
110,Cameron Carter-Vickers,us USA,DF,sct Celtic,24,1997,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
111,Dani Carvajal,es ESP,DF,es Real Madrid,30,1992,11,10,869,9.7,0,2,2,0,0,0,3,0,0,0.21,0.21,0,0.21,Matches
112,Fabio Carvalho,pt POR,FW,eng Liverpool,19,2002,4,1,115,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
113,Marc Casado,es ESP,MF,es Barcelona,18,2003,1,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
114,Dani Ceballos,es ESP,MF,es Real Madrid,25,1996,7,0,86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
115,Aleš Čermák,cz CZE,MF,cz Viktoria Plzeň,27,1994,3,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
116,El Chadaille Bitshiabu,fr FRA,DF,fr Paris Saint-Germain,17,2005,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
117,Trevoh Chalobah,eng ENG,DF,eng Chelsea,23,1999,6,4,439,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
118,Timothy Chandler,us USA,"DF,MF",de Eintracht Frankfurt,32,1990,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
119,Tjaronn Chery,sr SUR,"MF,FW",il Maccabi Haifa,34,1988,6,6,540,6,2,1,3,1,1,1,1,0,0.33,0.17,0.5,0.17,0.33,Matches
120,Federico Chiesa,it ITA,"FW,MF",it Juventus,24,1997,1,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
121,Ben Chilwell,eng ENG,"MF,DF",eng Chelsea,25,1996,7,7,556,6.2,0,0,0,0,0,0,1,1,0,0,0,0,0,Matches
122,Chiquinho,pt POR,MF,pt Benfica,27,1995,9,4,404,4.5,0,1,1,0,0,0,0,0,0,0.22,0.22,0,0.22,Matches
123,Tomáš Chorý,cz CZE,FW,cz Viktoria Plzeň,27,1995,6,5,361,4,2,0,2,1,1,1,2,0,0.5,0,0.5,0.25,0.25,Matches
124,Andreas Christensen,dk DEN,DF,es Barcelona,26,1996,3,3,216,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
125,Viktor Claesson,se SWE,"MF,FW",dk FC Copenhagen,30,1992,6,6,482,5.4,0,1,1,0,0,0,2,0,0,0.19,0.19,0,0.19,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
126,Jonathan Clauss,fr FRA,MF,fr Marseille,29,1992,6,6,410,4.6,0,1,1,0,0,0,1,0,0,0.22,0.22,0,0.22,Matches
127,William Clem,dk DEN,MF,dk FC Copenhagen,18,2004,2,2,170,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
128,Sebastián Coates,uy URU,DF,pt Sporting CP,31,1990,5,5,394,4.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
129,Josh Cohen,us USA,GK,il Maccabi Haifa,29,1992,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
130,Antonio Čolak,hr CRO,FW,sct Rangers,28,1993,6,3,284,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
131,Kingsley Coman,fr FRA,MF,de Bayern Munich,26,1996,7,7,533,5.9,1,1,2,1,0,0,0,0,0.17,0.17,0.34,0.17,0.34,Matches
132,Francisco Conceição,pt POR,MF,nl Ajax,19,2002,3,0,17,0.2,1,0,1,1,0,0,1,0,5.29,0,5.29,5.29,5.29,Matches
133,Rodrigo Conceição,pt POR,"DF,MF",pt Porto,22,2000,2,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
134,Andreas Cornelius,dk DEN,FW,dk FC Copenhagen,29,1993,2,1,109,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
135,Pierre Cornud,fr FRA,"DF,MF",il Maccabi Haifa,25,1996,5,5,371,4.1,0,1,1,0,0,0,1,0,0,0.24,0.24,0,0.24,Matches
136,Ángel Correa,ar ARG,"FW,MF",es Atlético Madrid,27,1995,6,3,315,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
