Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
92,Hakan Çalhanoğlu,tr TUR,MF,it Inter,27,1994,4.6,0,0,0,5,4,0,32,2,2,,,0,Matches
93,Mohamed Camara,ml MLI,MF,at RB Salzburg,21,2000,7.4,2,0,0,14,24,0,1,12,10,,,0,Matches
94,Eduardo Camavinga,fr FRA,MF,es Real Madrid,18,2002,3.4,1,0,0,5,10,1,0,1,8,,,0,Matches
95,Emre Can,de GER,"DF,MF",de Dortmund,27,1994,0.8,0,1,0,1,1,0,1,0,1,,,0,Matches
96,João Cancelo,pt POR,DF,eng Manchester City,27,1994,9.3,3,0,0,11,4,2,24,25,9,,,0,Matches
97,Nicolás Capaldo,ar ARG,MF,at RB Salzburg,22,1998,3.2,3,0,0,15,8,0,8,12,7,,,0,Matches
98,Étienne Capoue,fr FRA,MF,es Villarreal,33,1988,11.6,3,1,1,18,17,0,3,22,10,,,0,Matches
99,Fábio Cardoso,pt POR,DF,pt Porto,27,1994,1.7,0,0,0,0,1,0,0,3,0,,,0,Matches
100,Diego Carlos,br BRA,DF,es Sevilla,28,1993,6,2,0,0,1,3,0,0,3,4,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
101,Yannick Carrasco,be BEL,"MF,DF",es Atlético Madrid,27,1993,5.2,0,1,0,1,7,5,13,1,5,,,0,Matches
102,Scott Carson,eng ENG,GK,eng Manchester City,35,1985,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches
103,Dani Carvajal,es ESP,DF,es Real Madrid,29,1992,10.6,3,0,0,15,6,1,19,12,11,,,0,Matches
104,Casemiro,br BRA,MF,es Real Madrid,29,1992,10.1,3,0,0,17,18,0,3,17,19,,,0,Matches
105,Frank Castañeda,co COL,"FW,MF",md FC Sheriff Tiraspol,27,1994,3.9,0,0,0,5,5,4,8,1,0,,,0,Matches
106,Koen Casteels,be BEL,GK,de Wolfsburg,29,1992,5,0,0,0,0,1,0,0,0,0,,,0,Matches
107,Edinson Cavani,uy URU,"FW,MF",eng Manchester Utd,34,1987,0.9,1,0,0,2,1,0,0,0,0,,,0,Matches
108,Dani Ceballos,es ESP,MF,es Real Madrid,24,1996,0.5,0,0,0,0,1,0,0,1,1,,,0,Matches
109,Dumitru Celeadnic,md MDA,GK,md FC Sheriff Tiraspol,29,1992,1,0,0,0,0,1,0,0,0,0,,,0,Matches
110,Zeki Çelik,tr TUR,"DF,MF",fr Lille,24,1997,6.5,1,0,0,6,3,1,14,4,12,,,0,Matches
111,Trevoh Chalobah,eng ENG,DF,eng Chelsea,22,1999,2,1,0,0,3,0,0,1,3,0,,,0,Matches
112,Giorgio Chiellini,it ITA,DF,it Juventus,36,1984,0.1,0,0,0,1,0,0,0,0,0,,,0,Matches
113,Federico Chiesa,it ITA,"FW,MF",it Juventus,23,1997,3.7,0,0,0,5,11,2,11,1,2,,,0,Matches
114,Ben Chilwell,eng ENG,MF,eng Chelsea,24,1996,2.1,0,0,0,2,1,0,13,1,5,,,0,Matches
115,Dmitri Chistyakov,ru RUS,DF,ru Zenit,27,1994,4.9,2,1,1,7,1,0,0,5,0,,,0,Matches
116,Andreas Christensen,dk DEN,DF,eng Chelsea,25,1996,6.7,0,0,0,7,4,0,1,6,2,,,0,Matches
117,Anders Christiansen,dk DEN,MF,se Malmö,31,1990,3.6,1,0,0,3,3,0,11,4,0,,,0,Matches
