Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
94,Gautier Larsonneur,fr FRA,GK,Brest,fr Ligue 1,23,1997,35,35,"3,150",35,62,1.77,164,111,67.1,10,7,18,6,17.1,10,8,1,1,11.1,Matches
95,Jean-Louis Leca,fr FRA,GK,Lens,fr Ligue 1,34,1985,37,37,"3,313",36.8,51,1.39,128,88,68,15,12,10,8,21.6,11,10,1,0,9.1,Matches
96,Benjamin Lecomte,fr FRA,GK,Monaco,fr Ligue 1,29,1991,28,28,"2,520",28,27,0.96,67,43,64.2,18,5,5,13,46.4,3,3,0,0,0,Matches
97,Jeremías Ledesma,ar ARG,GK,Cádiz,es La Liga,27,1993,32,32,"2,880",32,45,1.41,119,82,68.9,10,10,12,9,28.1,9,8,1,0,11.1,Matches
98,Bernd Leno,de GER,GK,Arsenal,eng Premier League,28,1992,35,35,"3,131",34.8,37,1.06,120,84,70,17,6,12,11,31.4,2,1,1,0,50,Matches
99,Karlo Letica,hr CRO,GK,Sampdoria,it Serie A,23,1997,1,1,90,1,0,0,1,1,100,1,0,0,1,100,0,0,0,0,,Matches
100,Hugo Lloris,fr FRA,GK,Tottenham Hotspur,eng Premier League,33,1986,38,38,"3,420",38,45,1.18,149,114,76.5,18,8,12,12,31.6,10,10,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
101,Niklas Lomb,de GER,GK,Leverkusen,de Bundesliga,27,1993,2,1,135,1.5,3,2,8,5,62.5,0,1,0,0,0,0,0,0,0,,Matches
102,Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,29,1990,38,38,"3,420",38,43,1.13,129,93,70.5,22,10,6,11,28.9,8,5,2,1,28.6,Matches
103,Pau López,es ESP,GK,Roma,it Serie A,25,1994,21,20,"1,817",20.2,29,1.44,85,59,69.4,10,4,6,4,20,3,3,0,0,0,Matches
104,Andreas Luthe,de GER,GK,Union Berlin,de Bundesliga,33,1987,31,31,"2,768",30.8,42,1.37,126,89,69.8,11,12,8,5,16.1,5,4,1,0,20,Matches
105,Mike Maignan,fr FRA,GK,Lille,fr Ligue 1,25,1995,38,38,"3,420",38,23,0.61,108,86,79.6,24,11,3,21,55.3,2,1,1,0,50,Matches
106,Radosław Majecki,pl POL,GK,Monaco,fr Ligue 1,20,1999,1,1,90,1,1,1,2,1,50,1,0,0,0,0,0,0,0,0,,Matches
107,Steve Mandanda,fr FRA,GK,Marseille,fr Ligue 1,35,1985,37,37,"3,330",37,45,1.22,126,84,66.7,16,12,9,8,21.6,3,3,0,0,0,Matches
108,Niccolò Manfredini,it ITA,GK,Benevento,it Serie A,32,1988,1,1,90,1,1,1,5,4,80,0,1,0,0,0,0,0,0,0,,Matches
109,Vito Mannone,it ITA,GK,Monaco,fr Ligue 1,32,1988,9,9,810,9,14,1.56,31,19,61.3,5,1,3,2,22.2,2,2,0,0,0,Matches
110,Federico Marchetti,it ITA,GK,Genoa,it Serie A,37,1983,4,4,334,3.7,11,2.96,18,7,38.9,0,1,3,0,0,0,0,0,0,,Matches
111,Emiliano Martínez,ar ARG,GK,Aston Villa,eng Premier League,27,1992,38,38,"3,420",38,46,1.21,182,141,77.5,16,7,15,15,39.5,6,5,1,0,16.7,Matches
112,Josep Martinez,es ESP,GK,RB Leipzig,de Bundesliga,22,1998,1,1,90,1,2,2,4,2,50,0,0,1,0,0,0,0,0,0,,Matches
113,Jordi Masip,es ESP,GK,Valladolid,es La Liga,31,1989,25,25,"2,250",25,40,1.6,112,75,67.9,4,9,12,2,8,4,4,0,0,0,Matches
114,Alex McCarthy,eng ENG,GK,Southampton,eng Premier League,30,1989,30,30,"2,700",30,57,1.9,144,92,64.6,8,7,15,7,23.3,6,6,0,0,0,Matches
115,Edouard Mendy,sn SEN,GK,Chelsea,eng Premier League,28,1992,31,31,"2,745",30.5,25,0.82,78,56,70.5,17,7,7,16,51.6,3,2,1,0,33.3,Matches
116,Edouard Mendy,sn SEN,GK,Rennes,fr Ligue 1,28,1992,1,1,90,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,,Matches
117,Alex Meret,it ITA,GK,Napoli,it Serie A,23,1997,22,22,"1,980",22,29,1.32,80,53,66.3,13,5,4,6,27.3,2,2,0,0,0,Matches
118,Illan Meslier,fr FRA,GK,Leeds United,eng Premier League,20,2000,35,35,"3,150",35,52,1.49,182,139,75.8,16,5,14,11,31.4,9,8,1,0,11.1,Matches
119,Vanja Milinković-Savić,rs SRB,GK,Torino,it Serie A,23,1997,5,5,450,5,6,1.2,19,14,73.7,2,2,1,1,20,1,1,0,0,0,Matches
120,Antonio Mirante,it ITA,GK,Roma,it Serie A,37,1983,13,13,"1,153",12.8,19,1.48,52,36,67.3,6,3,4,5,38.5,3,2,1,0,33.3,Matches
121,Lorenzo Montipò,it ITA,GK,Benevento,it Serie A,24,1996,37,37,"3,330",37,74,2,173,103,59.5,7,11,19,7,18.9,5,4,1,0,20,Matches
122,Jessy Moulin,fr FRA,GK,Saint-Étienne,fr Ligue 1,34,1986,29,29,"2,610",29,42,1.45,100,62,62,8,9,12,9,31,4,4,0,0,0,Matches
123,Florian Müller,de GER,GK,Freiburg,de Bundesliga,22,1997,31,31,"2,790",31,46,1.48,155,112,71.6,11,8,12,6,19.4,3,2,1,0,33.3,Matches
124,Juan Musso,ar ARG,GK,Udinese,it Serie A,26,1994,35,35,"3,147",35,51,1.46,137,99,72.3,9,10,16,8,22.9,13,13,0,0,0,Matches
125,Paul Nardi,fr FRA,GK,Lorient,fr Ligue 1,26,1994,23,23,"2,070",23,44,1.91,106,67,62.3,6,4,13,3,13,6,4,1,1,20,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
126,Keylor Navas,cr CRC,GK,Paris Saint-Germain,fr Ligue 1,33,1986,29,29,"2,520",28,18,0.64,90,73,81.1,21,3,5,15,51.7,2,1,1,0,50,Matches
127,Neto,br BRA,GK,Barcelona,es La Liga,31,1989,7,7,630,7,6,0.86,22,18,81.8,3,2,2,3,42.9,2,2,0,0,0,Matches
128,Manuel Neuer,de GER,GK,Bayern Munich,de Bundesliga,34,1986,33,33,"2,970",33,42,1.27,122,81,66.4,24,5,4,9,27.3,3,1,1,1,50,Matches
129,Will Norris,eng ENG,GK,Burnley,eng Premier League,26,1993,2,2,180,2,4,2,6,2,33.3,0,0,2,0,0,0,0,0,0,,Matches
130,Alexander Nübel,de GER,GK,Bayern Munich,de Bundesliga,23,1996,1,1,90,1,2,2,4,2,50,0,1,0,0,0,0,0,0,0,,Matches
131,Jan Oblak,si SVN,GK,Atlético Madrid,es La Liga,27,1993,38,38,"3,420",38,25,0.66,123,100,80.5,26,8,4,18,47.4,4,1,2,1,66.7,Matches
132,Robin Olsen,se SWE,GK,Everton,eng Premier League,30,1990,7,7,630,7,9,1.29,29,21,72.4,2,3,2,2,28.6,1,1,0,0,0,Matches
133,Jonas Omlin,ch SUI,GK,Montpellier,fr Ligue 1,26,1994,31,31,"2,673",29.7,51,1.72,148,108,73,10,10,11,2,6.5,11,11,0,0,0,Matches
134,Stefan Ortega,de GER,GK,Arminia,de Bundesliga,27,1992,34,34,"3,060",34,52,1.53,167,120,71.9,9,8,17,11,32.4,6,5,1,0,16.7,Matches
135,David Ospina,co COL,GK,Napoli,it Serie A,31,1988,16,16,"1,440",16,12,0.75,39,30,76.9,11,0,5,8,50,3,3,0,0,0,Matches
136,Alexandre Oukidja,dz ALG,GK,Metz,fr Ligue 1,32,1988,34,34,"3,058",34,39,1.15,117,88,74.4,12,10,12,8,23.5,10,9,1,0,10,Matches
137,Fernando Pacheco,es ESP,GK,Alavés,es La Liga,28,1992,38,37,"3,349",37.2,57,1.53,140,86,61.4,9,11,17,9,24.3,3,3,0,0,0,Matches
138,Daniele Padelli,it ITA,GK,Inter,it Serie A,34,1985,1,0,45,0.5,1,2,1,1,100,0,0,0,0,,1,1,0,0,0,Matches
139,Alberto Paleari,it ITA,GK,Genoa,it Serie A,27,1992,3,2,206,2.3,3,1.31,12,9,75,1,0,1,1,50,0,0,0,0,,Matches
140,Ivor Pandur,hr CRO,GK,Hellas Verona,it Serie A,20,2000,4,4,332,3.7,6,1.63,13,7,53.8,0,3,1,0,0,0,0,0,0,,Matches
141,Rui Patrício,pt POR,GK,Wolves,eng Premier League,32,1988,37,37,"3,329",37,51,1.38,142,99,69,12,9,16,10,27,8,7,1,0,12.5,Matches
142,Jiří Pavlenka,cz CZE,GK,Werder Bremen,de Bundesliga,28,1992,34,34,"3,060",34,57,1.68,158,106,66.5,7,10,17,6,17.6,6,4,2,0,33.3,Matches
143,Bailey Peacock-Farrell,nir NIR,GK,Burnley,eng Premier League,23,1996,4,4,360,4,14,3.5,24,10,41.7,0,0,4,0,0,0,0,0,0,,Matches
144,Gianluca Pegolo,it ITA,GK,Sassuolo,it Serie A,39,1981,1,1,90,1,0,0,1,1,100,0,1,0,1,100,0,0,0,0,,Matches
145,Yohann Pelé,fr FRA,GK,Marseille,fr Ligue 1,37,1982,1,1,90,1,2,2,5,3,60,0,0,1,0,0,0,0,0,0,,Matches
146,Philipp Pentke,de GER,GK,Hoffenheim,de Bundesliga,35,1985,3,3,270,3,3,1,13,10,76.9,1,2,0,0,0,0,0,0,0,,Matches
147,Juan Pérez,es ESP,GK,Osasuna,es La Liga,24,1996,3,3,270,3,3,1,7,5,71.4,1,1,1,1,33.3,1,1,0,0,0,Matches
148,Mattia Perin,it ITA,GK,Genoa,it Serie A,27,1992,32,32,"2,879",32,44,1.38,157,119,76.4,9,11,12,8,25,7,7,0,0,0,Matches
149,Pavao Pervan,at AUT,GK,Wolfsburg,de Bundesliga,32,1987,2,2,180,2,4,2,14,10,71.4,0,1,1,0,0,0,0,0,0,,Matches
150,Jordan Pickford,eng ENG,GK,Everton,eng Premier League,26,1994,31,31,"2,742",30.5,39,1.28,126,89,70.6,15,5,11,10,32.3,3,2,0,1,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
151,Carlo Pinsoglio,it ITA,GK,Juventus,it Serie A,30,1990,1,0,23,0.3,1,3.91,2,1,50,0,0,0,0,,0,0,0,0,,Matches
